2.38E+16,8426,ODC-P B2B > Business Type > Minority Owned business > 8426,Premium,Already Shared,"3,600,000",People who are owners or employees of a minority owned business
2.38E+16,8424,ODC-P B2B > Business Type > Small Business > 8424,Premium,Already Shared,"95,000,000",People who are owners or employees of a small business
2.38E+16,8425,ODC-P B2B > Business Type > Women Owned Business > 8425,Premium,Already Shared,"52,000,000",People who are owners or employees of a women owned business
,9199,ODC-P B2B > Company Age > 2-5 Years > 9199,Premium,5-7 business days,"10,950,900",People who are owners or employees of a company aged 2-5 years
,9200,ODC-P B2B > Company Age > 6-10 Years > 9200,Premium,5-7 business days,"24,927,662",People who are owners or employees of a company aged 6-10 years
,9198,ODC-P B2B > Company Age > Less Than 2 Years > 9198,Premium,5-7 business days,"2,425,017",People who are owners or employees of a company aged less than 2 years
,9201,ODC-P B2B > Company Age > More Than 10 Years > 9201,Premium,5-7 business days,"17,239,158",People who are owners or employees of a company aged more than 10 years
,281046,ODC-P B2B > Company Past Purchases > Technology > Business Intelligence > 281046,Premium,5-7 business days,"47,026,499",This audience contains people working at Companies that have likely bought Business Intelligence
,281048,ODC-P B2B > Company Past Purchases > Technology > Cloud Infrastructure Computing > 281048,Premium,5-7 business days,"59,648,172",This audience contains people working at Companies that have likely bought Cloud Infrastructure Computing
,281049,ODC-P B2B > Company Past Purchases > Technology > Collaboration > 281049,Premium,5-7 business days,"49,842,339",This audience contains people working at Companies that have likely bought Collaboration
,281050,ODC-P B2B > Company Past Purchases > Technology > Commerce > 281050,Premium,5-7 business days,"45,883,415",This audience contains people working at Companies that have likely bought Commerce
,281051,ODC-P B2B > Company Past Purchases > Technology > Communications Technologies > 281051,Premium,5-7 business days,"56,864,722",This audience contains people working at Companies that have likely bought Communications Technologies
,281053,ODC-P B2B > Company Past Purchases > Technology > Customer Relationship Management > 281053,Premium,5-7 business days,"53,821,343",This audience contains people working at Companies that have likely bought Customer Relationship Management
,281054,ODC-P B2B > Company Past Purchases > Technology > Data Center Solutions > 281054,Premium,5-7 business days,"18,830,160",This audience contains people working at Companies that have likely bought Data Center Solutions
,281055,ODC-P B2B > Company Past Purchases > Technology > Database Management Software > 281055,Premium,5-7 business days,"56,888,184",This audience contains people working at Companies that have likely bought Database Management Software
,281059,ODC-P B2B > Company Past Purchases > Technology > Enterprise Content > 281059,Premium,5-7 business days,"51,148,019",This audience contains people working at Companies that have likely bought Enterprise Content
,281060,ODC-P B2B > Company Past Purchases > Technology > Enterprise Performance Management (EPM) > 281060,Premium,5-7 business days,"39,434,556",This audience contains people working at Companies that have likely bought Enterprise Performance Management (EPM)
,281062,ODC-P B2B > Company Past Purchases > Technology > Financial Analytical Applications > 281062,Premium,5-7 business days,"51,877,802",This audience contains people working at Companies that have likely bought Financial Analytical Applications
,281063,ODC-P B2B > Company Past Purchases > Technology > Hardware (Basic) > 281063,Premium,5-7 business days,"53,918,820",This audience contains people working at Companies that have likely bought Hardware (Basic)
,281092,ODC-P B2B > Company Past Purchases > Technology > HR MGMT Systems (HRMS)/Human Capital MGMT (HCM) > 281092,Premium,5-7 business days,"53,667,565",This audience contains people working at Companies that have likely bought HR Management Systems (HRMS)/Human Capital Management (HCM)
,281066,ODC-P B2B > Company Past Purchases > Technology > IT Governance > 281066,Premium,5-7 business days,"53,653,480",This audience contains people working at Companies that have likely bought IT Governance
,281069,ODC-P B2B > Company Past Purchases > Technology > Marketing Performance Measurement > 281069,Premium,5-7 business days,"66,289,137",This audience contains people working at Companies that have likely bought Marketing Performance Measurement
,281071,ODC-P B2B > Company Past Purchases > Technology > Medical > 281071,Premium,5-7 business days,"37,729,754",This audience contains people working at Companies that have likely bought Medical
